Q45. What are the different camping options available?,"A. The different camping options are as follows:
Regular 2-Man Tent – (Max Capacity - 2)
Regular 3-Man Tent – (Max Capacity - 3)
Regular 4-Man Tent – (Max Capacity - 4)
Luxury 4-Man Tent – (Max Capacity - 4)
BYOT - Bring Your Own Tent (Max Capacity – Flexible)

Note: Each person must pay a per night rate for space. Tents must be of standard sizes. The number of people living in the tents you bring is up to you. Below are the minimum capacity requirements for BYOT & the sizes:
Minimum Capacity for 2-Man Tent - 1 PAX - Standard size: 9.7' x 5.1' x 3.6'
Minimum Capacity for 3-Man Tent - 2 PAX - Standard size: 10.4' x 6.9' x 3.9'
Minimum Capacity for 4-Man Tent - 2 PAX - Standard size: 11.7' x 7.9'
Minimum Capacity for 6-Man Tent - 4 PAX - Standard tent size  
Minimum Capacity for 8-Man Tent - 6 PAX - Standard tent size"
"Q46. I have a VIP Ticket for the festival, will I avail any special benefits at Enchanted Village?","A.  No, VIP Ticket grants privileges at the Music Arena only."
Q47. Can I get my own camp/tents along?,"A. Yes. There will be a section at the Enchanted Village - BYOT! Bring Your Own Tents, where space shall be available for putting up your own tents. There will be a charge associated with it. You can go through our camping options sold under BYOT. "
Q48. If I get my own tents will I be provided with sleeping bags/ mats etc.?,"A. These will be available for purchase/rent at the venue. For more information, keep tuned into our EVC Website (www.evc.co.in) & EVC’s official Facebook Page (www.facebook.com/enchantedvalleycarnival) or follow us on Twitter (www.twitter.com/EVCIndia). "
Q49. What all is included in the Camping Packages?,"A. The basic camping packages include a tent, mats, sleeping bags & a hygiene kit."
Q50. What are the bathing facilities at the campsite?,A. There will be numerous shower stalls set up at the campsite. These will be serviced regularly. There will be enough shower stalls set up in order to minimize any waiting time during peak hours.
Q51. What are the sanitation facilities at the campsite?,"A. We will have separate bathrooms for men and women set up at numerous points. There will also be wash basins and changing rooms set up. Once again, all these facilities will be serviced regularly."
Q52. What are the food facilities available at the campsite?,"A. We will have a number of food stalls set up.  For more information, keep tuned into our Website (www.evc.co.in) & 
EVC’s official Facebook Page (www.facebook.com/enchantedvalleycarnival) or follow us on Twitter (www.twitter.com/EVC_India). "
Q53. Do camping packages include breakfast?,"A. No, camping packages do not include any meals."
Q54. What are the check-in/check-out timings?,"A. The check in time is 2pm on any given day. Campers can check in a day prior to the festival i.e. Friday, 16th December 2016. The check-out time is 11am on Monday, 19th December 2016. Significant delays in checking out will lead to half day charges for the concerned tent."
Q55. I want to check out later than the scheduled time. Can I do that?,"A. If you check out after 12pm and before 4pm, you will incur half day charges. If you check out after 4pm, full day charges will be applicable for the entire tent."
Q56. How far is the parking space from the campsite?,A. The parking site is conveniently located at a walking distance from the campsite.
Q57. Can I get my own food at the campsite?,A. No outside food or beverages are allowed at the campsite. Medical items need to be accompanied with a valid medical prescription.
Q58. What items are available for purchase at the campsite?,"A. There will be numerous items available for purchase at the campsite. For more information, keep tuned into our 
EVC Website (www.evc.co.in) &  EVC’s official Facebook Page (www.facebook.com/enchantedvalleycarnival) or follow us on 
Twitter (www.twitter.com/EVCIndia). "
Q59. Can I carry alcohol at the campsite?,"A. No, outside alcohol is strictly prohibited. We will be selling alcohol at reasonable rates. You may be denied entry if you are carrying alcohol or are clearly under the heavy influence of alcohol during entry."
Q60. Will there be ATMs at the campsite?,"A. For more information, keep tuned into our 
EVC Website (www.evc.co.in) & 
EVC’s official Facebook Page (www.facebook.com/enchantedvalleycarnival) or follow us on 
Twitter (www.twitter.com/EVCIndia). "
"Q61. We only want to camp for one night, is that possible?","A. No, camping packages are available to purchase for minimum 2 nights."
"Q62. I have booked camping, does this offer access to the festival arena?","A. No, you need to purchase the festival tickets separately."
Q63. Will we have charging points in our tents?,"A. There will be charging stations at Enchanted Village and the Festival arena, however not in individual tents."
Q64. Is there a secure zone for our valuables/money/etc.?,"A. Yes, there will be security tents with lockers for you to deposit your valuables."
Q65. What first aid facilities do you have?,"A. Yes, there will be First aid rooms at Enchanted Village."
Q66. What if we need extra blankets/pillows/etc.?,A. Extra blankets/pillows etc. will be available for purchase/ rent at Enchanted Village.
"Q67. Will there be shops selling daily necessities like soap, toothpastes, etc.?","A. Yes, we will have shops selling these items at Enchanted Village."
Q68. Will there be a lot of insects/bugs at the campsite?,"A. While we will be taking every precaution to minimize the number of the same, camping in the midst of nature does involve some exposure to them. Insect and mosquito repellent sprays and ointments like Odomos will be available for purchase at the campsite."
Q69. Is the campsite safe?,"A. Yes, the entire campsite will be barricaded and secured. We will have security patrolling the area. Adequate security will be provided within the campsite as well."
